"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_AP","tsm_coef_AP","tsm_med_chuv_AP","tsm_med_seco_AP","tsm_amp_chuv_AP","tsm_amp_seco_AP","prec_med_AP","prec_coef_AP","prec_med_chuv_AP","prec_med_seco_AP","prec_amp_chuv_AP","prec_amp_seco_AP","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1946,1966.12665493962,0.121824258377695,12.3622461681907,0,0,0,27.6258184115092,1.1939960980446,27.4427808125814,27.9155917167664,0.448043823242202,0.823389053344702,209.161235690236,75.7059252757545,279.539865150483,31.1517123732051,374.363636363636,43.5526315789474,14.0852146400498,6.27249884433638,4.10329468024501
1947,1966.19907127412,0.146053512765744,12.8292643567668,0,0,0,27.4414777755737,1.35136835840731,27.342617670695,27.6119585037231,1.2430381774902,0.332887649536101,155.529292929293,50.5274035778862,217.702777777778,22.5541666666667,271.15,28.2666666666667,35.8548615073125,7.23703566674388,4.50825691336636
1948,1966.27142077569,0.172069770960413,13.2962825453429,0,0,0,27.5615803400675,1.87282424867463,27.5296579996745,27.6398758888245,1.5799980163574,0.7878093719482,175.268813131313,68.7762911844227,261.441359214914,28.1915704764606,353.979545454545,33.8809941520468,26.6424262427883,6.76994575984124,5.53989968409474
1949,1966.74640572326,0.199739918575767,16.3731082583148,0,0,0,27.6374293963114,1.13668167869266,27.4765179951986,27.8217105865479,0.844324111938498,0.346240997314499,171.446233164983,69.7756938788136,279.012093748871,31.8582262518119,376.66553030303,36.7571637426901,21.0064960245462,6.60974933225639,7.76750410386172
1950,1966.87314125928,0.228922641255935,17.1972580028609,0,0,0,27.6118081410726,0.660672949610599,27.5248285929362,27.7371048927307,0.616081237793001,0.217378616333001,194.72127875982,68.9766680991846,259.693831033174,30.1773805733831,389.813194444444,43.8977095516569,17.0558411544242,6.18711016842121,9.12000860615986
1951,1967.78783484664,0.259469154228751,23.1860794798955,0,0,0,27.8673739433289,1.10517807675539,27.8258221944173,27.9715085029602,1.0413093566895,0.1487216949463,177.993911920127,67.5782786424729,260.318130576223,30.7799879824034,341.482512626263,30.3190545808967,33.5815433690715,7.51740050183554,11.4309271625052
1952,1967.62918374014,0.291223967947714,22.1421564701371,0,0,0,27.8948384920756,0.900890235815826,27.8172562917074,27.9831032752991,0.598325729370103,0.582683563232401,215.643167301877,75.7636950880475,258.945697056564,34.1651276738247,368.573789983165,44.9477095516569,23.4203352664316,7.16656913910554,11.913922149632
1953,1967.4701987002,0.324025685852127,21.0982334603788,0,0,0,27.9396704037984,1.04570567128003,27.767120997111,28.1226100921631,0.639511108398398,0.0241146087645987,194.002496929818,74.3593004747436,266.759800226533,34.8070634834803,410.676062710438,36.8555636777128,17.9719634827404,6.73818770119152,13.4207714832279
1954,1968.1373523377,0.357707830125175,25.4936987646244,0,0,0,27.8269071578979,1.02569191519794,27.7770500183106,27.9547386169434,0.7146530151368,0.4187717437744,206.264160964173,79.2095871296094,275.901447279726,30.0708144777521,403.889497404602,40.4472384665367,23.321160354264,6.87378384268406,15.9736144998752
1955,1967.13440182543,0.392099691203085,18.900500808256,0,0,0,27.9252626101176,1.5796670429391,27.6384344100952,28.2309579849243,0.982032775878899,0.244195938110302,207.737883383085,66.3739813134563,275.287642483553,30.9713921332259,372.754598063973,28.8798990145116,24.8905214095818,7.05374266237739,13.3274644911268
1956,1966.99966866506,0.427027196681726,18.0214077474069,0,0,0,27.9088918368022,1.12873027420018,27.7529176076253,28.0592484474182,0.836257934570302,0.2862434387207,198.492013912271,67.7713990404607,253.598914147416,27.8629867529491,363.129121071829,40.7910320103242,23.0576429699908,6.69780652044776,13.2101029784605
1957,1965.59650899315,0.462313795184892,8.95633014093843,0,0,0,27.8979873657227,1.76116287826861,27.6295216878255,28.2427697181702,1.3595676422119,0.417661666870099,201.825799216011,74.9938424095387,282.346750970571,30.6508655606545,344.735595538721,36.977559833225,22.3687832466391,6.47569266053838,7.95885621034934
1958,1965.94543241514,0.497781350696491,11.195412676173,0,0,0,28.330193678538,1.29859025376255,28.3673051198324,28.2027425765991,0.7639274597168,0.718011856079098,189.025038455002,74.5734775105088,293.404453549433,25.2654480127076,376.571968820146,39.7196680293842,16.1810951988731,5.97612970234429,10.413058822117
1959,1965.59650899315,0.533251042822157,8.95633014093843,0,0,0,27.7345306078593,1.17195540896783,27.8100728988647,27.6869702339172,1.1478805541993,0.2578830718994,208.164411573295,76.3698182941909,277.954977851867,32.3304272851566,384.159548318837,40.1739754801097,15.6371485963559,5.86764840321351,9.55867097499724
1960,1965.59650899315,0.568544268430181,8.95633014093843,0,0,0,27.7477038701375,1.5655596583991,27.5457054773966,27.8990907669067,1.0236072540284,0.431135177612298,217.204280953089,73.2039781718379,320.109928980809,28.5505094529933,346.303790460547,36.6707762902197,20.6693056091135,6.30498366301449,9.68349744585521
1961,1968.84793968139,0.603483540130634,30.2188239666884,0,0,0,27.8212609291077,1.17185733168908,27.6797358194987,28.0115060806274,0.9272766113281,0.461454391479499,212.409768735205,76.6727341743828,257.727322869871,29.4165630558334,334.562117704826,47.2540527684523,39.8551445725221,8.10881699781976,21.5207262577917
1962,1965.59650899315,0.637893377081368,8.95633014093843,0,0,0,28.0710986455282,1.37097835484391,27.966924349467,28.1414203643799,1.2997150421142,0.281709671020497,199.810694225473,76.7135582787777,297.490239700853,33.3379023592431,348.042930153516,42.0853743261618,21.9258172571982,6.35223695697285,10.5183973134614
1963,1968.79338436901,0.671601183664412,29.8544338031281,0,0,0,27.9689405759176,1.13115727558697,27.8549817403158,28.1098155975342,0.906610488891598,0.4038791656494,217.200714933453,71.9569278617908,291.52394877744,30.7664886019367,360.265780197811,36.9016817377807,37.0922601633823,7.81316986463954,24.455991798576
1964,1967.43968163654,0.704438111650862,20.8981036621897,0,0,0,27.851061185201,1.48752937601829,27.8882261912028,27.7603001594543,1.1427402496337,0.576028823852599,223.197469172159,70.8752897959742,256.526778956361,24.4439701249523,359.677588383838,38.3467066908526,29.1652720647951,6.94763003140175,19.9557953248019
1965,1967.09741531726,0.736239901570285,18.6590211269551,0,0,0,27.6874621709188,1.38671098381347,27.5309216181437,27.8363637924194,1.2389831542969,0.156227111816399,209.337460472913,71.3595427761934,299.577934102969,32.1742685343374,355.089714564628,46.2343473245012,31.0711022803542,7.20349285475687,18.9690327368571
1966,1966.07043864089,0.766847699119495,12,0,0,0,28.0526889165243,1.68549631052334,27.9117050170898,28.2338786125183,1.6847362518311,0.5192470550537,203.172323560738,75.4038338226035,266.222864136822,35.7449765395241,374.932848449776,45.2444227853585,23.1480220445688,6.62900754986781,15.2580494345127
1967,1966.53479056818,0.796108842583746,15,0,0,0,27.6808698972066,0.990474795411356,27.5955775578817,27.7511386871338,0.715415954589798,0.382303237915,67.1,76.7470869560533,277.020591045113,67.1,365.19417145997,48.9722897689898,20.0243997677631,7.86665894838729,17.4854113112445
1968,1966.68896169569,0.823877617402935,16,0,0,0,27.7343255678813,1.20870669320626,27.6762272516886,27.8321118354798,1.0628280639649,0.110284805297901,207.591666666667,65.9366900211663,260.633333333333,48.4666666666667,336.5,57.2,27.786052491544,7.81014859276133,18.7264272377483
1969,1966.52355755296,0.850015974192204,14.927216901564,0,0,0,28.1788237889608,1.43035183445879,28.1444384256998,28.197452545166,1.3451385498047,0.690834045410099,187.833333333333,83.4102721637247,277,36.2315660346937,306.6,31.3,35.4475777059773,7.67271115738979,16.1199047603579
1970,1967.09741531726,0.874394206722028,18.6590211269551,0,0,0,27.9348610242208,0.989677839317837,27.8606700897217,28.0785970687866,0.939407348632802,0.167350769043001,166.5,65.8993852001367,207.8,42.6,319.9,53.2,28.8512952838898,7.9444126134562,20.7501399810667
1971,1966.98298515428,0.896891586574461,17.9126602818769,0,0,0,27.4945581754049,1.14356668000233,27.3348677953084,27.7039937973022,0.8321208953857,0.442333221435497,157.241666666667,64.4662717531278,213.0625,45.6,197.9,52.6,54.7555956878826,10.2937653167364,16.2375842415662
1972,1966.98298515428,0.917396951420413,17.9126602818769,0,0,0,27.5861822764079,1.73263407936442,27.2723843256632,27.8905262947083,1.2859020233155,0.341464996337898,187.433333333333,80.7977617297992,263.3875,35.525,329.9,60.9,33.0945761284829,7.8059955552534,20.016146487012
1973,1971.02662989932,0.935809244104226,45,0,0,0,27.8549059232076,1.64614648083509,27.6346791585286,28.1834511756897,1.3140411376953,0.516099929809602,276.766666666667,73.0364462256218,328.34,18.9,488.5,51.4962434396032,36.0042943316166,6.53427838360233,48.1570013945185
1974,1969.68219726204,0.952037999977709,35.8253205637537,0,0,0,27.4757421811422,1.06596826431079,27.2856963475545,27.7322010993957,0.523836135864297,0.380779266357401,266.833333333333,82.7354208670839,385.1,30.3,389.4,35.5,39.2515622276941,7.79263515941235,34.577012894363
1975,1968.68151463015,0.966003780192221,29.1080729580499,0,0,0,27.5560631752014,1.62986901589419,27.2694787979126,27.8602232933044,1.1350555419922,0.589241027832003,231.683333333333,93.8075804489663,323.8125,47.425,581,48.1,12.4537837099727,6.69659180784767,38.4085356513112
1976,1973.85871820219,0.977638548935235,64.9333935218036,0,0,0,27.4078764915466,1.12047398752993,27.3188149134318,27.590106010437,0.951595306396499,0.529689788818299,195.041666666667,85.3779969265141,286.1375,12.85,358,33.4,69.7770663316352,7.62815473521973,49.4966706400529
1977,1970.66905360372,0.986885992884045,42.5425681694575,0,0,0,27.5412143071493,1.89112921758298,27.2820049921671,27.8442134857178,1.4123973846436,0.7290363311768,245.366666666667,82.2533448853279,317.711111111111,28.3333333333333,526.2,48.2,28.7556590335111,6.99768296494874,48.8315089201037
1978,1972.32040426478,0.993701781443465,54,0,0,0,27.5908381144206,1.19932842008407,27.5887937545776,27.6815590858459,1.0005950927734,0.2769775390625,253.933333333333,70.985066550693,325.577777777778,39,365.2,43.5,63.7991783300255,10.4584256921637,46.3618195947161
1979,1966.7536127435,0.998053766634097,16.4199385917205,0,0,0,27.7694560686747,1.70263617385698,27.5088726679484,28.151285648346,1.2128963470459,0.544744491577198,210.008333333333,80.071819495943,267.044444444444,38.9,477.5,77.9,12.1272773322489,6.19079140730405,25.1534009313885
1980,1967.89364699976,0.999922121802617,23.8835470425025,0,0,0,27.7795729637146,1.4978603752548,27.599739074707,28.0631675720215,0.887714385986399,0.7260036468506,173.133333333333,81.771042897552,246.2,27,368.4,46.4,27.2265527039879,7.22505436947596,26.7870465263171
1981,1969.12796941595,0.999299418632729,32.0935163383627,0,0,0,27.6407132148743,0.977571823581065,27.5180225372314,27.7916617393494,0.830730438232397,0.326194763183597,185.341666666667,92.0990028649067,264.0375,27.95,431.5,41.7,24.8698731354851,6.84825358625403,34.4087037407775
1982,1975.59800217907,0.996190642244561,77.621527888133,0,0,0,27.4468061129252,1.11138688761772,27.4297959009806,27.5048246383667,0.993917465209901,0.375423431396499,202.85,81.1294244213254,292.825,22.9,350.7,41.5,85.3975575083773,9.91303339841405,56.5886973617695
1983,1984.57837960096,0.990613144479053,150.018529860719,0,0,0,27.8020941416423,1.46797679851193,27.8015721638997,27.8204569816589,1.3285522460938,0.6078796386719,135.55,68.9084304666335,186.6125,33.425,169.3,61.9,205.797535246808,25.0183291179466,55.4922610825142
1984,1997.80215233382,0.982596535771026,296,0,0,0,27.3902972539266,1.02036419383842,27.198543548584,27.5386037826538,0.751777648925799,0.0560569763183985,229.116666666667,58.8586417396728,246.4,39,349.7,42.2245397444228,253.65078331363,33.7963758177862,166.353081490858
1985,1999.0430068295,0.972182516318668,315,0,0,0,27.3728779157003,1.51758188747082,27.0983069737752,27.6651244163513,0.949234008788999,0.285057067871101,278.508333333333,54.8720037370083,324.02,50.95,386.3,54.1,310.213116901338,47.5815999015665,190.942739210683
1986,2003.2032990996,0.959424647556539,399,0,0,0,27.426159063975,1.2926823792927,27.2571125030518,27.686761379242,0.869672775268601,0.351692199706999,272.3,77.7947401247607,348.266666666667,44.4,522.4,17,331.380078866188,43.2413303923581,292.479616627157
1987,1965.79980783781,0.944388065232377,1027,501,0,0,27.8178056081136,2.21912216895052,27.4770574569702,28.2808351516724,1.8187770843506,0.462285995483398,178.466666666667,86.7769718991851,289.228571428571,23.4,279.1,44,633.382770190719,102.164364431579,383.687324891767
1988,1982.64241812426,0.927149135673547,904,904,0,0,27.8343393007914,1.5560851450251,27.7288916905721,27.9227037429809,1.4507560729981,0.5037937164307,215.916666666667,77.8977431583902,300.75,46.25,381.9,39,583.37976184237,208.674377806273,456.305355014616
1989,2003.17607847462,0.907795057105996,639,639,0,0,27.469509601593,1.89032383949172,27.1183926264445,27.8365144729614,1.2433204650878,0.5335693359375,243.808333333333,58.3947311007191,264.481818181818,16.4,365.5,41.6041381764453,489.764250966648,31.8729947726248,327.271114124143
1990,1997.75156733907,0.886423408154489,742,511,0,0,27.5749026934306,1.54699587307089,27.3991998036703,27.7767910957336,1.0532436370849,0.367063522338903,251.109090909091,49.4272379380422,251.109090909091,41.9880768345263,294.2,40.2468323586745,543.178803026175,142.829391796224,310.68533127583
1991,1997.06370025956,0.863141645908404,751.833333333333,511,0,0,27.3683595657349,1.34873571108658,27.3502810796102,27.2997221946717,1.231309890747,0.159389495849698,218.618181818182,88.4109205037999,335.7,13.725,413,27.1,591.030597170834,28.0638399512409,405.553394497066
1992,1998.77744035372,0.838066556178734,726.472222222222,511,0,0,27.338205019633,1.5627247515087,27.1556536356608,27.5608067512512,1.2247352600098,0.400129318237301,220.27,92.0998863164824,346.783333333333,30.5,398.6,56,608.574690365585,71.1436237806482,377.337562529889
1993,2000.03803888455,0.811323658800943,705.634259259259,511,0,0,27.5922578175863,1.6912090522036,27.3128751118978,27.9442710876465,1.2132740020752,0.3572597503662,190.991666666667,75.9741151371298,276.8875,19.2,292.9,30.5,580.980164242752,46.478762912279,281.263992379995
1994,2003.55521620755,0.783046571050679,628.239969135802,511,0,0,27.6477891604106,1.59783584375559,27.4720684687296,27.8961133956909,0.912796020507802,0.9337863922119,220.475,77.1826059485481,280.622222222222,40.0333333333333,376.2,62.2,486.453513394517,88.812295736608,314.755073627743
1995,1997.75156733907,0.753376332437337,742,511,0,0,27.7664292653402,1.53928907979496,27.5314702987671,27.9685397148132,1.2111015319825,0.3386840820312,217.35,76.7648587961812,282.266666666667,22.6,508.2,25.1,457.389380026313,41.9435441947551,479.715263257894
1996,2005.37785995269,0.722460694320087,529.5,274.5,255,52.95,27.951353708903,1.23501160154016,27.8999751408895,28.0769872665405,0.903678894042901,0.871437072753899,215.808333333333,96.4094151652445,340.542857142857,41.18,583,52.4,389.161811989319,52.2825260779835,389.117232258349
1997,1998.98045651527,0.690453377954393,314,314,151.218130311615,31.4,27.717787583669,1.64230301547334,27.4605458577474,28.040762424469,1.3013725280762,0.617530822753903,205.141666666667,65.5569510611847,246.17,29.2931059126839,287.4,47.8995379771015,318.654292819874,31.7840301247844,133.16835048225
1998,1995.65635430075,0.657513304720526,266.5,266.5,128.342776203966,26.65,28.2852443059285,1.56773524396043,28.139489809672,28.4573287963867,1.5564346313476,0.3061218261719,189.583333333333,66.4439340495404,226.77,27.0757762106798,340.5,43.2134990253411,243.768589178714,23.4085333790863,131.906782039572
1999,1985.69053619574,0.623803802411014,160,160,77.0538243626062,16,28.0860573450724,1.33510334598224,27.7949781417847,28.3259491920471,0.63480758667,0.276687622070298,225.608333333333,70.3626740441937,294.033333333333,20.3333333333333,337.3,27.3,160.704485663879,13.6657700569931,82.7150647138272
2000,1987.40959937169,0.58949179155989,176,176,84.7592067988669,17.6,28.0208587646484,1.53356586833084,27.8175951639811,28.3984189033508,0.609842300415,0.5156440734863,225.15,72.9088501466769,316.4625,42.525,377.1,32.5,168.091773935815,22.6430664041819,96.5030552614205
2001,1988.34209969413,0.554746955881304,185,185,89.0934844192635,18.5,27.7459735870361,1.80894452909433,27.4522879918417,27.9208374023438,1.3190460205078,0.4520778656006,176.15,85.1151027429541,253.4875,21.475,351.9,39,178.670641320376,15.4302158603368,91.0069288532274
2002,1987.72319062962,0.519740900950844,179,179,86.2039660056657,17.9,27.885125319163,0.937772049560933,27.8451512654622,27.9693279266357,0.8551044464112,0.4258117675782,207.341666666667,85.9716414012354,301.25,19.525,372,59.1,174.030825872706,12.9882848663164,91.0246929299165
2003,1986.88081879263,0.484646305307353,171,171,82.3512747875354,17.1,28.1613995234171,1.99701036135537,27.7827275594075,28.622359752655,1.0803127288819,0.745540618896499,160.108333333333,79.7524938835219,228.875,22.575,277.3,29.5,181.90119913877,17.5133914673223,66.93757050886
2004,1964.26487480823,0.449636068176264,0.5,0.5,0.240793201133144,0.05,28.2533297538757,1.28693317035448,28.1102517445882,28.4717597961426,1.1384048461914,0.1908988952637,225.108333333333,92.2417250002374,296.277777777778,11.6,574.1,34.4,0.013534048744968,3.42090780920574,1.82216677667822
2005,1977.63994686773,0.414882458019471,93,93,44.7875354107649,9.3,28.4948590596517,1.14481779626145,28.4984747568766,28.4547514915466,0.914321899414098,0.4805908203125,215.958333333333,68.5059768426293,280.422222222222,22.5666666666667,339,40.9,99.423226140168,10.8613740480175,45.9751432683699
2006,1979.49887127043,0.380556266097818,107.5,107.5,51.7705382436261,10.75,28.105344136556,1.42479536099276,27.8798739115397,28.4350986480713,0.916591644287102,0.433975219726598,235,62.3248559587144,276.36,28.2,336.1,34.4,113.016242392805,13.2792954965354,51.2797721573485
2007,1979.43584291339,0.346825969195469,107,107,51.5297450424929,10.7,28.0396838188171,0.967484548902677,27.9330933888753,28.103063583374,0.568935394287102,0.2894573211669,224.608333333333,80.0289202156622,318.6,36.625,385.8,61.3,99.5941748087731,13.6026518666466,53.4260551383596
2008,1998.3237287838,0.313856905595594,303.781595839673,0,0,0,28.16867907842,2.2397976953038,27.6888081232707,28.7994713783264,1.2132987976074,0.467580795288001,196.108333333333,66.4299872653863,253.522222222222,23.8666666666667,286.6,14.8,313.425513602573,26.9685229891717,107.604839977391
2009,2002.66181553363,0.281810468319621,385.042760651913,0,0,0,28.1528622309367,1.46317130380788,27.8861513137817,28.5018367767334,1.0063724517822,0.3539009094238,209,82.1538206421492,303.8125,19.375,388.3,66.8,356.510778845473,22.0720678782644,172.377449275017
2010,1999.48754555726,0.250843319543787,322.253538780765,0,0,0,28.7365899085999,1.98429984304754,28.4682340621948,29.0197939872742,1.6654930114746,0.1233005523681,201.3,55.9176358601234,230.24,56.6,310.1,46,309.442479610082,65.3022571929045,120.31425577675
2011,2002.06567936591,0.221106629990628,371.19704494354,0,0,0,28.4442857106527,1.58069748006063,28.2369200388591,28.6966142654419,1.1584815979004,0.765733718872099,213.141666666667,73.796314535303,280.177777777778,12.0333333333333,361,28.3,346.073477587746,16.0839731541936,151.585673677521
