"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_CE","tsm_coef_CE","tsm_med_chuv_CE","tsm_med_seco_CE","tsm_amp_chuv_CE","tsm_amp_seco_CE","prec_med_CE","prec_coef_CE","prec_med_chuv_CE","prec_med_seco_CE","prec_amp_chuv_CE","prec_amp_seco_CE","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1946,1965.30618874795,0.121824258377695,190.73108334692,0,0,0,27.0948402086894,2.24408746895529,27.5796721776327,26.545947265625,1.2937908172607,0.523799896240302,90.7765473682449,129.579747136734,188.202269421096,12.8455917441568,407.2625,51.8052631578947,0.968415257975272,2.7324496652477,0.414287715960696
1947,1964.8746278953,0.146053512765744,178.795088079703,0,0,0,27.2585854530334,2.25138911337581,27.7698672612508,26.6734813690186,1.2894973754883,0.668106079101499,67.0682319223986,125.182366267251,155.260685685686,9.73368658671078,305.583333333333,38.7333333333333,0.90029510024631,2.86549249733695,0.552383982540299
1948,1964.43959377345,0.172069770960413,166.859092812485,0,0,0,27.1633039315542,2.03790740226209,27.6319750150045,26.6990242004395,0.936489105224599,0.177923202514702,83.4476085220142,127.346719962633,189.186675008468,12.2348325836661,397.138194444444,46.6906432748538,0.912008484106878,2.67069221612212,0.388005787722685
1949,1966.00903956618,0.199739918575767,210.379567863724,0,0,0,27.2809570630391,2.11767586868209,27.752103805542,26.7589950561523,1.0596313476562,0.865474700927699,100.899612484976,126.194255441457,176.261134801977,13.1697445746613,410.627199074074,49.9835282651072,1.02063825588806,3.15223965264508,0.818146894295456
1950,1966.23473582083,0.228922641255935,216.74543200624,0,0,0,26.8995049794515,2.92662155604028,27.5960224469503,26.1533847808838,1.2950935363769,0.6887531280518,83.7626574950357,127.598632081253,178.835916857697,9.28649829030661,410.975366512346,45.5429499675114,1.02094330633663,2.56344724134303,1.43005508289404
1951,1968.19033533103,0.259469154228751,273.12005580679,0,0,0,27.020008802414,2.03074626541206,27.4269350369771,26.5442613601685,1.2983379364014,0.700426101684599,56.2765952012855,140.490957411842,183.162389748305,10.6882964180471,387.527199074074,51.9036874593892,1.17977392185599,3.50094526245738,1.79193550048755
1952,1970.00449931375,0.291223967947714,327.535952178874,0,0,0,27.3167811234792,2.92985711678739,28.0235953330994,26.5139102935791,1.052116394043,0.621843338012699,84.9612695854068,123.188543013479,176.110546509041,13.2878788639337,447.965432098765,53.0977582846004,1.34276974390866,3.88235214099278,2.01229554291425
1953,1967.63769412498,0.324025685852127,256.960554521942,0,0,0,27.2720917860667,1.86200624533167,27.7271469434102,26.791969871521,0.689033508300799,0.31001663208,89.0962481600981,126.10400533148,191.74783688173,12.5490245117766,388.64693287037,48.1844514836474,1.14008836812382,3.51997503051927,1.31774681054262
1954,1972.94468321091,0.357707830125175,420.759135727449,0,0,0,27.2573788166046,2.23753272631433,27.7681214014689,26.6455448150635,1.0033683776855,0.812454223632802,83.5664681270603,126.806090845725,196.952529406146,12.4135575135148,452.709394290123,52.0385585878276,1.68001050175506,4.90690052684357,2.821278753911
1955,1976.00020476189,0.392099691203085,525.673473614683,0,0,0,27.425240834554,2.3719964592059,27.9405655860901,26.7907512664795,1.230640411377,0.755689620971701,94.5666564079881,131.825015839653,181.093282486302,11.4670186953985,411.972887731481,47.631971067071,2.04144012900917,6.66967796886184,3.90897687640774
1956,1979.09968146672,0.427027196681726,643.012208269423,0,0,0,27.3597950935364,1.73259570311356,27.726820786794,26.9411699295044,0.943161010742198,0.4971618652344,102.00272656472,121.405581005392,178.470204790052,14.4025179758669,348.784143518518,47.3570473251029,2.53067981471129,8.57322305871718,3.9680372383468
1957,1974.48885088553,0.462313795184892,472.628067354389,0,0,0,27.3319698174795,2.30926658710255,27.857070128123,26.6893968582153,0.881710052490199,0.692424774169897,99.31900391909,143.696807605459,187.777458591779,11.4741067731942,403.920293209877,51.2521063461122,1.83370337635788,5.90746901296703,3.51843316716455
1958,1968.57202935214,0.497781350696491,284.391176380242,0,0,0,27.3677977720896,2.74929097324385,27.9978596369425,26.615043258667,1.2980442047119,0.758466720580998,89.2823646305707,121.724166249499,194.820697202292,11.1429806633884,432.52165316358,49.7898761822251,1.21355053587537,3.48488704333136,4.85010591735925
1959,1974.67997577187,0.533251042822157,479.205396323535,0,0,0,27.3408463001251,2.72412758373297,28.0313040415446,26.6128900527954,0.9225254058838,0.5657749176025,80.2067389455748,127.77853895803,192.17044090331,11.4158880452191,414.827298739712,46.754808317089,1.84453023479754,5.53618755700201,4.64223237556533
1960,1983.19741474867,0.568544268430181,822.792533426096,0,0,0,27.3121298948924,2.17315686000118,27.779151280721,26.7123012542725,0.943473815917901,0.549064636230501,82.9600445810771,129.989699325811,214.22178594749,10.6118109013689,399.582445987654,51.0343831221572,3.38723481955446,10.2995623062341,6.35183698295144
1961,1983.37608979256,0.603483540130634,831.510398500076,0,0,0,27.3817772865295,2.47362796290832,27.9518869717916,26.7195240020752,1.2052307128906,0.683879852294901,137.973333333333,124.08982721708,251.5,8.22857142857143,398.099112654321,49.0791201146728,3.38773023272588,9.64373681068668,8.00786412325944
1962,1982.97011137503,0.637893377081368,811.830318477518,0,0,0,27.5627601146698,2.73749611808945,28.1869355837504,26.8197944641113,1.1340579986572,0.985925674438402,99.6196721311475,125.366679670763,183.006451612903,13.4533333333333,395.924787808642,46.129570443169,3.25916433741784,10.9079455592533,7.71924022666664
1963,1959.16328616371,0.671601183664412,29,0,0,0,27.4299172560374,2.77350867141419,27.9919074376424,26.737380027771,1.6550312042236,0.975202560424801,151.337288135593,129.882523013781,251.508823529412,15.104,338.652112268519,53.1220986476107,0.621868162087977,1.52426318874404,5.85025556942869
1964,1963.67099870243,0.704438111650862,146,0,0,0,27.4417525927226,3.42109488930893,28.2947999636332,26.5266174316406,0.991867065429702,1.1461868286133,149.433333333333,106.22590467644,253.908823529412,12.8115384615385,446.969586441187,51.2897444227854,0.863465074307701,2.07981267508199,5.95459350420744
1965,1979.05268669929,0.736239901570285,641.132971421096,0,0,0,27.0734514395396,2.47547324670723,27.6014542579651,26.465089225769,1.4026851654053,0.630718231201101,99.8568965517241,125.147115379035,201.392592592593,11.4225806451613,352.825311410465,52.8497906288355,2.45965230880756,7.02287382540332,9.97150438870589
1966,1959.12332032762,0.766847699119495,28,0,0,0,27.4811335404714,2.53744665280784,28.0692489941915,26.8443002700805,1.3978023529053,0.632972717285099,80.29,116.548644923753,157.159259259259,17.3969696969697,308.892063275177,53.4244061800592,0.613241913435489,1.80422487377419,6.45064772115293
1967,1959.44236439603,0.796108842583746,36,0,0,0,27.0892643133799,2.87986184050857,27.7951440811157,26.2861465454102,0.899421691894499,0.640617370605501,114.931666666667,112.858674811804,237.937037037037,14.2909090909091,336.503082058637,50.3982850967439,0.631334877773252,1.34905829670874,5.4185294983339
1968,1977.77595404338,0.823877617402935,591.333194940415,0,0,0,27.1924633185069,2.34740526864552,27.670529683431,26.6167493820191,1.3581867218018,0.883092880249002,84.6296296296296,120.231610796798,184.981818181818,15.6375,452.32027883159,50.0457867813395,2.35002560850563,6.89118695863037,10.6489379008939
1969,1976.79785735731,0.850015974192204,554.688076398027,0,0,0,27.5932085514069,2.94314549841125,28.3135875066121,26.8509422302246,1.283166885376,0.751508712768501,98.4015873015873,113.413055078054,179.8125,14.3645161290323,396.244628519257,53.5031577142445,2.10919138950819,6.86036919774184,11.0109867709129
1970,1978.20824949399,0.874394206722028,607.933120433975,0,0,0,27.4589831034342,2.28365781725823,27.9894693692525,26.9169500350952,1.2877788543701,0.4146823883056,60.2929577464789,158.140474028526,158.445454545455,16.2244897959184,385.460333867483,47.1961463998789,2.36509557074598,9.2992884362967,9.80450331752601
1971,1981.68561184809,0.896891586574461,2583.32425416766,0,0,0,27.251787741979,1.96975857890021,27.7427679697673,26.7305988311767,0.615520477294901,0.639476776123001,58.25,124.105211642743,137.885714285714,15.3692307692308,212.6,58.2,2.46110016786186,22.8421862173986,14.9701287878361
1972,1976.48241020086,0.917396951420413,2792.5459566148,0,0,0,27.2879417737325,1.25325168226465,27.4719025293986,27.0016328811645,0.4762878417969,0.927324295043899,46.5,141.42135623731,93,0,381.730947788066,54.2209374903905,1.89527645407821,24.5055862152737,15.3235954608273
1973,1968.52001749834,0.935809244104226,3052.82026010817,0,0,0,27.7859177589417,1.70116221279371,28.1913571357727,27.4117879867554,0.767391204833999,0.313949584960902,113.440322580645,110.930923820732,205.95,14.7633333333333,364,50.5,0.980458707685671,15.0623836024413,17.4436612222802
1974,1991.20213157588,0.952037999977709,1428.22000472897,0,0,0,27.2119640509287,1.75485257958713,27.6064354578654,26.7722799301147,0.5929260253906,0.926973342895501,122.259701492537,128.54891472881,239.1,15.4342857142857,618.5,54.5,6.45693283499309,19.9495219784528,11.7433625014953
1975,1988.65027966977,0.966003780192221,1151.34577574204,0,0,0,27.3213218847911,1.9806114319061,27.716854095459,26.828233909607,0.924385070800803,0.873096466064499,112.665277777778,106.007866857711,188.8,17.496875,451.5,58.1,5.08355235590667,15.4467555921336,13.9670239476127
1976,1960.54673147003,0.977638548935235,64,0,0,0,26.9939043521881,2.31672811933802,27.5231690406799,26.3441749572754,0.772422790527298,0.872932434082003,72.1148148148148,130.364079567112,165.861290322581,13.992,316.5,57.1,0.674562427494726,1.75093876616731,6.79740612417966
1977,1959.48213519775,0.986885992884045,37,0,0,0,27.3377715746562,1.66172349937033,27.5943776766459,26.9942892074585,1.1941413879395,0.7639484405518,119.489156626506,100.367378401731,199.104166666667,10.3028571428571,434.8,50.8,0.665443994307368,1.79735766543359,9.23417618777463
1978,1964.07763771125,0.993701781443465,157,0,0,0,27.3466509183248,2.21644166527935,27.8964161872864,26.7781608581543,0.797491073608398,0.278915405273402,90.8571428571429,106.780113889635,170.5,18.4545454545455,383.5,54.9,0.881831972323048,2.68612964288516,8.42554399036069
1979,1970.7323731262,0.998053766634097,350,0,0,0,27.5357011159261,1.81869498891684,27.9264097213745,27.0691799163818,0.9760417938232,0.583654403686499,48.3357142857143,118.82026757492,114.489285714286,15.2589285714286,200.4,54.4,1.29890413013261,5.50521336189314,10.3605385586023
1980,1969.98698328015,0.999922121802617,327,0,0,0,27.4738318125407,1.84223375397265,27.921530564626,26.9714097976685,0.736309051513597,0.342313766479499,51.3527777777778,143.088470460077,144.445,15.5480769230769,275,56.9,1.28012568415364,5.05569472089509,8.45281974595005
1981,1991.76201513427,0.999299418632729,1775,0,0,0,27.2072896162669,1.92769963419674,27.5915781656901,26.7702970504761,1.3105049133301,0.6514492034912,48.1958333333333,158.238732464674,156.927777777778,11.9518518518519,283.1,57.5,5.72060398347084,31.2033518182688,17.1323079816846
1982,1990.76928884006,0.996190642244561,1363,0,0,0,27.1560155550639,2.44539781099559,27.7188715934753,26.5143312454224,1.0978050231934,0.7154750823975,64.8369047619048,122.879422444806,144.10625,16.0557692307692,334.8,57.4,5.45429456478908,19.5615914957126,15.5441953909634
1983,1986.88045160093,0.990613144479053,1026,0,0,0,27.499756971995,2.07350221859588,27.9919764200846,26.9466455459595,0.9190578460694,0.537145614623999,41.8011904761905,147.501575092848,133.219047619048,11.3285714285714,223.8,59.4,4.05524041575324,18.1484540080908,12.712763017449
1984,1991.89841345484,0.982596535771026,1685,0,0,0,27.4853126207987,1.83182617916547,27.9002679189046,26.9741800308228,0.888147354126001,0.443531036376999,113.747619047619,122.332476863606,232.078947368421,15.995652173913,451.3,55.5,6.27640693446989,24.1119999382651,15.1320523894139
1985,1976.02794575769,0.972182516318668,2809,0,12,4,27.3511147499085,1.76959992409728,27.7709174156189,26.8852472305298,0.5950717926025,0.695247650146399,191.633333333333,106.45997418307,299.34,12.1222222222222,741.7,49.2,1.97594597773607,13.844381203971,16.3630244100152
1986,1991.4136145795,0.959424647556539,1868,1,30,16,27.3362217744191,1.66966854912676,27.7028840382894,26.9396167755127,0.960227966308601,0.491836547851499,126.086363636364,141.775021055893,245.963636363636,6.20909090909091,656.4,20.8,6.48224675761829,26.7565532154125,11.3841306556804
1987,1989.34321384226,0.944388065232377,2126,20,11,38,27.7293764750163,1.45476658666556,28.0227085749308,27.4462808609009,0.878728866577202,0.6851902008056,61.0863636363636,182.505387567955,194.85,10.925,410.9,57.6,5.10318885690072,44.0338627752933,14.2750473856616
1988,1990.97905682226,0.927149135673547,1943,0,13,38,27.8277729352315,2.50413673802586,28.4363210995992,27.1114751815796,0.78662109375,0.721321105957102,114.447826086957,118.612002719584,195.8,8.69,379.1,35.1,5.37191374718002,27.1776586819846,12.7049105845232
1989,1990.35570604919,0.907795057105996,2024,0,11,49,27.6049602826436,1.32323304327876,27.8827565511068,27.2778676986694,0.556194305419901,0.660808563232401,114.27,142.283886277235,199.227272727273,10.4333333333333,556.6,35.9,5.89734954395232,33.2193236539141,10.4283147535157
1990,1990.64859232227,0.886423408154489,1988.5,5,16,35.5,27.3966249624888,1.9317660384927,27.8227688471476,26.9313812255859,1.0522689819336,0.616855621337901,37.5037037037037,142.573013351033,108.0625,7.79473684210526,149.5,34.7,4.8217078110822,34.2377409043689,12.803986633581
1991,1990.66158777054,0.863141645908404,1986.83333333333,5,16,35.5,27.2525827089945,2.90299787947221,27.9295123418172,26.466262626648,1.0871791839599,0.937238693237301,60.604347826087,137.971837268328,161.4875,6.8,202,37.1,4.70253434012556,25.6132353955539,13.1531225262939
1992,1991.28643636277,0.838066556178734,1892.55555555556,5,16,35.5,26.8932776451111,2.34158453320424,27.4215440750122,26.2797922134399,1.0371627807617,0.324850082397401,58.437037037037,164.084305936138,162.544444444444,6.38333333333333,290,26.7,5.35709574014784,27.221227529104,10.2630069324259
1993,1991.82206868419,0.811323658800943,1748.81481481481,5,16,35.5,27.2941973209381,1.69335533557084,27.5807140668233,26.9113574981689,1.0378494262696,0.7994594573975,26.9057142857143,155.307163888133,117.14,11.8666666666667,87.4,45.4,5.18752963277071,34.3903582885997,11.576084438945
1994,1991.72510278195,0.783046571050679,1547.36728395062,5,16,35.5,27.4069417317708,2.11384935476948,27.9308646519979,26.8738573074341,0.698814392089801,0.7709064483643,146.403174603175,107.921021764528,240.291891891892,12.7923076923077,541.1,56.3,6.35497918538626,19.7692318023383,11.3165207560924
1995,1990.8850749288,0.753376332437337,1379,0,0,0,27.2820169130961,2.20083013757722,27.8112516403198,26.6403631210327,0.579410552978498,0.5610046386719,95.9845238095238,133.798306052248,206.658333333333,12.9791666666667,607.1,56.6,6.15348714933712,19.6203436195459,8.89158997858123
1996,1989.84957435881,0.722460694320087,1257.5,5.22161272085783,10.2705179281799,18.7540973962491,27.4853355089823,2.16917605167496,27.9668901761373,26.9551803588867,1.3960094451904,0.385692596435501,95.4333333333333,133.503029530708,224.93125,15.7423076923077,401.3,58.1,5.3545114993997,19.306907532864,11.933061367485
1997,1986.77822791735,0.690453377954393,1019.5,4.23334725162191,8.3266743759677,15.2046141514719,27.150089263916,2.25181436164914,27.5266299247742,26.6053663253784,0.833957672119201,1.4677600860596,54.3928571428571,144.613543162403,152.472,12.8338983050847,363,55.1,4.2638712839239,15.3212621709987,7.8652931208737
1998,1987.53075491829,0.657513304720526,1069,4.4388898597193,8.7309611651883,15.942847011205,27.9864937464396,2.20434644882706,28.4718117713928,27.4147815704346,1.0965194702148,0.678400039672901,49.147619047619,151.254749764663,154.575,16.2015625,315.7,55.6,4.40821244751064,22.2685197249858,8.38092037101923
1999,1987.40578120246,0.623803802411014,1060.5,4.40359466438944,8.66153818118072,15.8160797524629,27.6868235270182,1.98831315081941,28.1317869822184,27.1540390014648,0.6942024230957,0.771306991577198,77.4297619047619,122.503622636139,181.025806451613,16.8358490566038,313.2,59.3,4.40973272065858,17.1066455013976,7.12693078739207
2000,1982.35832551734,0.58949179155989,783,3.25131034626774,6.39508193858039,11.6775015994139,27.7718064785004,1.99749308672066,28.2459999720256,27.2952850341797,0.837589263915998,0.592302322387699,137.059016393443,82.9905631611892,179.967441860465,34.5555555555556,467,54.0070410078695,3.30099074355149,10.7744411741675,6.80595564033993
2001,1974.99136093784,0.554746955881304,490,2.03466420136806,4.00203084278977,7.30775962160003,27.5185737609863,2.20840984352164,28.0335666338603,26.906149482727,0.9685153961182,0.530551910400401,81.6794871794872,193.425519333505,253.633333333333,5.25555555555556,675.6,51.5744872512213,2.09298720065618,6.71048273088006,4.23943287617887
2002,1974.4121892634,0.519740900950844,470,1.95161668294487,3.83868264512488,7.00948371867758,27.5682909488678,1.78228134237565,27.924577554067,27.1009986877441,0.750658035278303,0.7567043304443,97.0439024390244,137.823571541831,208.172222222222,10.0739130434783,532.9,52.3,1.94461420898263,6.44466690786494,3.91368149103275
2003,1980.60157446041,0.484646305307353,705,2.92742502441731,5.75802396768733,10.5142255780164,27.9286080996195,2.03780035631719,28.4198698997497,27.4151252746582,1.176347732544,0.415498733520501,108.441463414634,129.990058592302,225.054054054054,12.56,479.1,58.8,2.92615159848775,10.7658185172132,5.91668512572538
2004,1979.22399549863,0.449636068176264,648,2.69073959691123,5.29248160434239,9.66413925468739,27.8077224095662,2.32272138573701,28.3681813875834,27.2337503433228,1.0567169189453,0.3417263031006,112.790243902439,123.950313129701,214.414634146341,11.1658536585366,452.9,49.9,2.60381211185111,9.07428418595283,4.74629609304083
2005,1971.9044175116,0.414882458019471,387,1.60696948148865,3.1607876248156,5.77163872154942,27.8425989151001,2.26844877950256,28.3691388765971,27.2184743881226,0.8810005187988,0.7174472808838,67.5865853658537,144.576246394188,164.81,11.4961538461538,358.3,58.2,1.50311249271095,6.10283036883073,2.90009079791954
2006,1978.18412736157,0.380556266097818,607,2.5204921841437,4.95761779912937,9.05267365369637,27.8132252693176,2.32679876451465,28.3110696474711,27.2261276245117,1.42160987854,0.558866500854499,95.4609756097561,129.032308311471,209.988235294118,14.3375,499.5,57.4,2.46197150485768,8.67044551008292,4.77554596692238
2007,1966.68396536815,0.346825969195469,229.5,0.952970273906061,1.8744205682046,3.42271598603512,27.8493851025899,2.49587942526323,28.438846429189,27.146337890625,0.928855895996101,0.8553581237793,79.35,125.373474753104,175.167647058824,11.4791666666667,297.8,56.7,1.01173453523527,3.78434354882664,2.08427481978526
2008,1989.82380632577,0.313856905595594,1254.9321793256,0,0,0,27.8911151885986,2.06112571405908,28.3743589719136,27.3355024337769,0.947130203247102,0.643596649169901,97.5524390243902,127.641921831223,215.547058823529,13.9729166666667,426.8,55.7,5.42841286345981,21.5812898704716,4.08532087887689
2009,1991.36417419547,0.281810468319621,1457.78288863615,0,0,0,27.7137684822083,2.10243281076223,28.2148219744364,27.1801877975464,0.892152786254901,0.614515304565398,143.518292682927,109.34323835209,250.302222222222,13.6459459459459,636.3,56.8,6.43064771013692,20.792665846518,4.28576126237385
2010,1990.2617144055,0.250843319543787,1301.00512105706,0,0,0,28.3118308385213,2.71943445223854,28.9031252861023,27.6843978881836,1.6799488067627,1.028003692627,62.958024691358,120.338081312836,138.51935483871,16.11,292.1,59.2,5.11400399571856,27.8297543284308,5.44988847409261
2011,1990.54065712506,0.221106629990628,1333.64853785709,0,0,0,27.841982126236,1.96408999426384,28.30157995224,27.3883543014526,0.812644958496097,0.6567192077637,121.258108108108,105.62364245921,198.093023255814,14.6806451612903,607.4,54.9,6.09507229313781,21.6299522798178,2.88932568211573
