"ano","ano2","sinano","c.total","c.rosa","c.7barbas","c.branco","tsm_med_SP","tsm_coef_SP","tsm_med_chuv_SP","tsm_med_seco_SP","tsm_amp_chuv_SP","tsm_amp_seco_SP","prec_med_SP","prec_coef_SP","prec_med_chuv_SP","prec_med_seco_SP","prec_amp_chuv_SP","prec_amp_seco_SP","c.rosa.recon","c.branco.recon","c.7barbas.recon"
1946,1973.01681515498,0.121824258377695,1182.18868725824,0,0,0,23.4969743887583,7.09316469164216,25.1641132831573,22.4082765579224,2.0855884552002,3.9698944091796,124.591074864506,80.9024856118956,203.299261032431,45.2293991870187,285.914,89.174,16.9024822247681,42.9436517448049,1282.73952726013
1947,1973.57405471386,0.146053512765744,1283.94165742344,0,0,0,23.0436356067658,10.0698238092061,25.8066623210907,21.9277838298253,1.584794998169,5.743106842041,89.9614583333333,62.2862719000269,171.293173565723,40.3154320987654,207.933333333333,66.45,51.7316854842407,70.6272511701443,1305.65247310346
1948,1974.11862440218,0.172069770960413,1385.69462758865,0,0,0,22.937660296758,8.3868084822254,25.183856010437,21.8212036405291,1.8476600646973,4.8822593688965,115.958978176405,78.2114994417691,172.621560044893,37.6742414282891,278.160222222222,80.3456666666667,59.0230644383834,74.2068743286239,1363.42624920401
1949,1973.42424756543,0.199739918575767,1256.35802093287,0,0,0,22.7601653734843,7.9420780432206,24.8777256011963,21.8327451433454,1.5135440826416,5.1766872406005,118.725989846065,81.6811874255029,196.466164843391,45.0890548718506,277.123666666667,84.1735555555556,68.4583031314613,50.2333669723721,1235.76818846637
1950,1971.79239171367,0.228922641255935,966.270110507073,0,0,0,23.5807791550954,7.72955875287817,25.6445667743683,22.6166554859706,1.2343502044677,4.9814128875733,105.059482473845,83.6106066090082,179.771623461698,44.9460231751297,283.621148148148,83.5456666666667,57.4792041094665,49.4173008383768,923.384263064125
1951,1972.46165481739,0.259469154228751,1083.04083831714,0,0,0,22.8172908624013,9.39125551053687,25.3512678146362,21.5889030184065,2.6860198974609,4.0936222076416,112.959841949278,78.5859215107639,191.872286761325,45.8119190569593,254.587814814815,85.4782037037037,65.0419065592839,46.2610161004268,1009.2665647208
1952,1973.24703443671,0.291223967947714,1223.94724805646,0,0,0,22.7275948524475,8.02747026305019,24.7516670227051,21.5646302359445,2.0266170501709,4.1048622131347,111.812749283953,83.1484917350576,188.461164736384,42.5290269113576,297.442413580247,89.0709598765432,90.7115361304619,54.4747966534858,1099.02677540025
1953,1973.41297449565,0.324025685852127,1254.28924819608,0,0,0,23.3346095085144,8.31432042059355,25.6596961021423,22.232364654541,1.2945861816406,4.9298648834229,120.859432890567,79.9745538727378,195.041419045924,50.4585279211109,298.459080246914,85.4158266460905,127.412310403751,51.1176723924581,1101.19292350093
1954,1974.65250291359,0.357707830125175,1487.83070381622,0,0,0,23.3523193995158,8.36787437108478,25.7014482021332,22.1971058164324,1.6333789825439,4.4862327575683,120.822406007986,84.7459805549064,181.315867446888,41.9021967685171,277.713444444444,89.7105637002743,158.453223445389,71.3545590133047,1254.92165120413
1955,1973.10873611688,0.392099691203085,1198.81549036505,0,0,0,22.9761496384939,10.2149231777847,25.6688663959503,21.5429473604475,1.6521759033203,5.5502300262451,112.865984707944,78.9770067796404,179.675721287434,47.4047579259653,271.905360082305,87.1157525720165,172.892351673424,59.9185980252435,981.154712598683
1956,1970.29011710778,0.427027196681726,714.090966507874,0,0,0,22.7718371550242,10.7835975929041,25.8688089847565,21.4378846032279,1.1983680725098,6.1795730590821,127.700510836053,72.7461920369781,194.165087086623,46.9666853024804,287.757161522634,86.0852488854595,144.038616851969,29.7770999503286,568.624197332321
1957,1970.40557403637,0.462313795184892,733.018678873142,0,0,0,22.9288148880005,8.09667054723696,25.0423440933228,21.8613676343645,1.4006271362305,4.6262531280517,126.380477801925,75.6402760271272,192.062592523954,46.4078648948987,307.673574074074,80.901180984225,129.14172828447,31.6742252980772,562.737899515193
1958,1968.50565473107,0.497781350696491,430.175281028839,0,0,0,23.8408721288045,7.80166438581163,25.9204514026642,22.639890398298,1.8486652374268,4.2977676391601,131.650259762114,77.7415534814971,191.647717551256,42.3058915293734,346.088693415638,87.9200672010745,95.1636459167868,19.2205417018643,305.681937478865
1959,1976.03909738006,0.533251042822157,1765.43935334236,0,0,0,23.6813322703044,8.70019508912144,26.1338882446289,22.584038734436,0.4652099609375,5.5617179870605,131.057457331908,78.6912667080893,194.603743723823,43.8931796655004,291.647871399177,86.9228458052317,331.782786592214,72.0429623067053,1348.74115944706
1960,1978.28714338863,0.568544268430181,2262.7219782117,0,0,0,23.2835417588552,8.17379693966547,25.502347946167,22.1337901524135,0.813875198364201,4.9136734008789,130.830408754583,72.9182349764196,199.52371500178,39.4433948577617,312.530994855967,91.8868447764251,397.917484189779,87.640397150331,1725.18965902378
1961,1981.94127737183,0.603483540130634,3279.34958327234,0,0,0,24.1911126772563,6.36771509605519,25.8621623516083,23.1874245234898,1.3482131958008,3.571174621582,107.672916666667,99.9275389580419,207.680952380952,29.8888888888889,237.259129801097,92.6,489.82721246816,119.144079882345,2522.47044578088
1962,1979.31971941699,0.637893377081368,2517,0,0,0,23.1095889409383,9.09431618460227,25.5059080123902,21.8171852656773,1.0062885284423,5.2217864990235,114.980434782609,81.418666506762,204.566666666667,39.728,201.7,77.5,494.524435781567,93.0084122265564,1875.21389758389
1963,1979.46484530166,0.671601183664412,2554.38081874925,0,0,0,23.4055593808492,8.98962218095932,25.9143452644348,22.1942473820278,1.7623977661133,5.3236598968505,91.5525,120.187652977939,223.992307692308,27.7851851851852,377.6,99.7,529.178480952619,78.0143970425182,1900.87115632625
1964,1980.59768163559,0.704438111650862,2863,0,0,0,22.9066582520803,8.53729635385939,25.1228363513947,21.81953729902,1.3828964233398,5.098690032959,134.185714285714,88.7948175961338,258.261538461538,60.8681818181818,342.3,74.9,587.254093256875,63.2211027410014,2160.88977728724
1965,1979.58708434352,0.736239901570285,2586.21378954538,0,0,0,23.5880598227183,7.18426610613799,25.2581532001495,22.4974946975708,0.9488925933838,4.2677745819092,171.052941176471,73.9561388556704,251.315,56.3928571428571,430.8,90.3,532.766967911269,59.4794134294674,1906.00536207459
1966,1981.62135187291,0.766847699119495,3174,0,0,0,23.8005700111389,9.68968744083481,26.4984471797943,22.4134353910174,2.203628540039,5.0078678131104,151.005714285714,88.2811944508462,253.227777777778,42.7705882352941,469.5,98,675.456932358381,76.1454043465415,2347.73140878499
1967,1983.30424717638,0.796108842583746,3792,0,0,0,23.6914913654327,6.60109350828929,25.5004563331604,22.8901168278285,0.595811843871999,4.5178852081298,157.234285714286,87.1130769121499,269.561111111111,38.3,294,87.6,759.629799639017,82.771070700472,2833.57233136396
1968,1985.35463776728,0.823877617402935,6275,0,0,0,22.7834581534068,8.64038933411631,25.1339437961578,21.4929813657488,1.985725402832,3.9194984436035,112.425714285714,88.6362746183981,212.407142857143,45.7714285714286,264.3,91,1074.71623516862,227.334255548316,4684.33263419166
1969,1985.23333378216,0.850015974192204,6429,0,0,0,23.2459353605906,9.53537531502298,25.91841340065,22.0069317136492,1.88037109375,4.890853881836,124.529411764706,83.0287254779031,202.633333333333,36.6625,286.9,89.2363916534097,1187.9097647352,247.215209333822,4755.98332231097
1970,1984.97030502508,0.874394206722028,4734,0,0,0,23.2979737917582,8.1219297881841,25.470333814621,22.3192434310913,1.2254943847656,4.7380008697509,144.325,86.1836414709592,206.190476190476,57.7133333333333,422.8,69.1,970.605144485961,176.541080793931,3403.30817422747
1971,1984.40995272859,0.896891586574461,7074,0,0,0,23.4156920115153,10.5687241337325,26.4573893547058,22.009192602975,1.9289302825928,6.0206966400147,140.938235294118,88.766970575074,233.625,58.55,483.5,88.2,1398.42691042848,228.180544140598,5274.772873191
1972,1973.64800310268,0.917396951420413,10119,0,0,0,23.6648856004079,8.22162768548658,25.9598605632782,22.543573651995,1.07253074646,5.0594310760498,127.816666666667,69.7882516754628,179.015789473684,39.3818181818182,276.2,91.2,1754.26534210463,438.374806900495,7539.07349373039
1973,1983.76265355597,0.935809244104226,7418,0,0,0,23.6275688012441,9.56775301368317,26.3344535827637,22.5078639984131,0.771919250488299,6.0982418060303,126.473333333333,70.6398618037226,199.106666666667,53.84,194.4,93.4,1492.22099049584,291.580750605035,5427.52119504039
1974,1983.96575116418,0.952037999977709,7318,0,0,0,23.5386352539062,9.02567783936971,26.0624771118164,22.3120546340942,1.4332485198974,4.9844951629639,117.325,87.7829121191624,198.111111111111,36.5388888888889,225.6,93.3,1417.20846711096,289.225477504373,5327.45639637175
1975,1982.2899148901,0.966003780192221,8017,0,0,0,23.266609509786,8.38068237208555,25.434000492096,22.0837456839425,1.9032516479492,4.6129951477051,119.808333333333,93.5905566089063,240.12,33.8714285714286,194.1,91,1497.71718351466,253.056322169347,5952.62017933671
1976,1981.98061733836,0.977638548935235,8124,0,0,0,23.3640904426575,8.94878580318821,25.686057806015,22.0189222608294,1.723159790039,4.9262447357177,172.577142857143,50.717321186372,201.962962962963,73.4,277.2,60.3,1548.5981145615,314.722793475527,5939.08060781134
1977,1966.63181784994,0.986885992884045,11269,0,0,0,24.1362545490265,7.34006549755196,26.1991209983826,23.0631918225969,1.7941951751709,4.2000045776367,134.109677419355,81.1595961131121,207.329411764706,45.2,288.6,89.6,1908.23884288533,427.964945054734,8430.84398228189
1978,1973.27815080759,0.993701781443465,10187,2254,7031,0,23.7983346780141,7.56789002441053,25.9672884941101,22.6937540599278,1.5860099792481,4.2224807739258,125.036111111111,84.2290431816903,224.72,53.8333333333333,318.4,97.2,1779.67493208306,355.517360359379,7605.02038763434
1979,1977.56991592924,0.998053766634097,9320,1425,6657,0,23.1402362982432,8.12546554934038,25.068717956543,21.9176721572876,1.4939136505127,4.350959777832,92.2416666666667,62.6001369328878,140.535294117647,49.0315789473684,132.6,93.7,1682.96867034727,491.214395299944,6692.01510455513
1980,1980.51945598608,0.999922121802617,8576,1504,6352,299,23.7495152950287,8.82206421025812,26.1555602550507,22.7407534463065,1.8409595489502,5.7262935638428,105.419444444444,83.4965822313355,186.8625,40.265,227.5,86.5,1694.62066511906,359.355032867713,6231.0702417172
1981,1983.19417251464,0.999299418632729,7671,994,5998,236,23.2006758054098,8.7318402109504,25.5388519763947,22.0109345572335,1.799114227295,4.5780410766602,107.080555555556,88.9759023788305,209.214285714286,42.0863636363636,245.9,92.4,1483.01888387075,285.419970185796,5573.37345164141
1982,1985.54151894587,0.996190642244561,5583,733,4133,357,23.3457073370616,7.14507490620429,25.2910461425781,22.3502950668335,0.9957695007325,4.3439846038819,141.327777777778,68.2592997720737,208.166666666667,47.7533333333333,282.2,87.4,1173.66147108308,206.659735804843,3946.65916538378
1983,1984.63642334641,0.990613144479053,6931,1251,4948,454,23.4696873029073,9.92047547719392,26.0315313339234,22.013037954058,1.5414543151856,5.5173225402832,185.609375,56.0523459736485,222.546153846154,25.55,289.4,52.9,1441.27103824201,237.918106722169,5030.80820271573
1984,1984.41995793648,0.982596535771026,7068,1996,4714,341,23.7325605551402,9.09709958655191,26.2695758342743,22.4975250789097,2.6471710205078,4.5253810882569,133.15236385874,72.3722381873165,155.15652173913,41.392,159.1,99.5,1380.0407811328,356.182351746876,4999.04635977236
1985,1976.71274506277,0.972182516318668,9509,2530,6311,300,23.5384562810262,8.09773237265105,25.7883296012878,22.589403969901,1.6192321777344,5.2795028686523,85.82,89.6778961743139,167.788888888889,39.7125,174.2,90.7,1755.18506874326,436.469567354156,6950.65665248845
1986,1983.30804727122,0.959424647556539,7623,1539,5690,375,23.9421397844951,9.1778483740826,26.5049488544464,22.7986207689558,1.1687870025635,5.9946975708008,130.019665730332,80.9101717746643,208.784615384615,43.1772727272727,347.6,97.2,1538.68973388224,284.240721054163,5581.96216089864
1987,1985.27425593099,0.944388065232377,6381,934,5252,189,23.647766272227,9.55058171095328,26.3543932437897,22.4127960205078,1.2631244659424,5.900598526001,130.847916666667,74.1612263513781,201.56,53.9869565217391,340.1,90.4,1342.84689080634,246.917547483139,4608.9179015013
1988,1983.06269332019,0.927149135673547,7725,1493,5687,430,23.3604729970296,9.40037148395237,25.9736769199371,22.1143726621355,1.3892402648926,5.0386562347412,106.158333333333,91.2412006185093,194.373913043478,25,205.1,97.9,1450.09315861773,311.624189379638,5669.28901601726
1989,1979.18473897271,0.907795057105996,8934,1095,7372,324,23.423894405365,9.5101516014,26.0854082107544,22.2351887566703,1.4330654144288,5.642614364624,129.8375,77.8015105418511,210.391304347826,55.728,267,72.5,1633.96507781425,332.118658018439,6689.97848643743
1990,1983.45068788408,0.886423408154489,3855.5,1616,1854,315,23.695774157842,9.06884712911955,26.0396473407745,22.4580748421805,1.0804290771484,5.910213470459,113.975,59.6937317350424,162.261538461538,56.9090909090909,175.7,93.1,921.538421642252,199.113889540139,2639.2705271423
1991,1984.57386256791,0.863141645908404,4444.5,1117,2942,315,23.6828330357869,7.13822168820487,25.4988934993744,22.7962874003819,0.857465744018498,4.5973834991455,145.814634146341,83.4722851148465,239.561904761905,47.38,351.3,89,911.628905932599,129.23325516032,3242.01789041866
1992,1984.44622383606,0.838066556178734,4364.5,1306,2673,315,23.37393561999,8.45465084476409,25.6423292160034,22.293643951416,0.974508285522401,5.483076095581,130.319512195122,58.4994109616935,169.968965517241,34.5,172.9,78.1,930.271922930011,210.375007460769,3087.48234209272
1993,1983.59766445557,0.811323658800943,3921.5,748,2788,315,23.7285482883453,9.96749136849008,26.3220329284668,22.3787587029593,1.2319736480713,6.5425319671631,119.979166666667,67.0878691439079,180.972,53.6826086956522,200.9,86.5,898.954902055294,175.911093955487,2788.19311986894
1994,1983.51592501845,0.783046571050679,3884.5,711,2788,315,23.6700856685638,8.11521577124499,25.6504507064819,22.5204988207136,1.9648056030273,4.5441474914551,115.445833333333,89.3832478076773,205.459090909091,39.2807692307692,253.4,99.9,763.003771598784,144.677024298151,2825.15897882387
1995,1979.87311411099,0.753376332437337,2662,620.5,2041.5,0,23.4883694648743,8.0726229883064,25.6878452301025,22.2814732960292,2.0627193450928,4.1563453674316,146.104166666667,86.8898423111154,260.859090909091,49.0038461538462,346,93.1,550.233233702585,55.6812611914231,1963.28319937
1996,1979.12292808135,0.722460694320087,2467,582.5,1840.5,44,23.5927805105845,10.2253221063654,26.2946805953979,22.2017916270665,1.2951335906982,6.1832504272461,140.133333333333,77.569812774835,215.871428571429,34.1,274.4,93.9,591.65352753646,81.4312269564509,1781.01699492667
1997,1981.98321471168,0.690453377954393,3293.5,706,2537.5,50,23.1278148492177,9.06613084466397,25.5706827640533,21.7972570146833,1.7964248657227,4.3092765808106,109.86875,72.6833434394627,179.754545454545,50.7346153846154,211.5,87.1,596.272974221604,150.784636025335,2407.24242543113
1998,1978.91501981726,0.657513304720526,2415,468.5,1788.5,158,23.5574071407318,8.37468490080437,25.7673149108887,22.2894548688616,2.170373916626,4.1870155334472,117.766101694915,74.29532202484,188.668965517241,49.2266666666667,291.8,91.8,449.896033591842,103.952255026337,1757.88086769623
1999,1974.48488700085,0.623803802411014,1455.5,392,1030.5,33,23.4464348157247,9.9207771182964,26.3233170509339,22.1438268933977,1.8325691223145,5.4477005004883,105.221666666667,101.257969101386,238.622222222222,48.05,271.5,96,342.427542880083,32.7001042803461,1080.06423485764
2000,1971.59280794625,0.58949179155989,932,277.5,632.5,22,23.5676412582397,8.89562189485213,25.5915553569793,22.2509247916085,0.952110290527401,5.6988735198974,121.572340425532,88.109307331416,227.715,42.9481481481481,244.5,92.3,249.515245052636,21.846152874799,678.240174616342
2001,1973.63115082909,0.554746955881304,1294.5,248.5,990,56,24.4567653338114,9.17022233085045,27.3053047657013,23.2269961493356,1.6985321044921,5.3968753814697,110.401960784314,69.4111084045916,179.354166666667,49.1111111111111,185.1,94,275.152142995425,64.4351980185587,942.652155478546
2002,1972.36218573129,0.519740900950844,1065.5,163.5,863.5,38.5,24.292782942454,7.34396683810449,26.2159597873688,23.2687729426793,1.4800605773925,4.6059646606446,122.028333333333,80.7197844525763,206.403448275862,43.0967741935484,238.9,99.6,200.348702693942,36.736224432166,807.588845263556
2003,1976.57678538478,0.484646305307353,1878.5,317,1434,127.5,24.086768468221,9.6289619310689,26.8688228130341,22.7146731785366,2.3025913238526,5.4238510131836,95.6033333333333,98.5513691073832,186.1125,35.2638888888889,340.1,99.3,309.329111616421,83.9557618281987,1470.67544505258
2004,1977.70142373031,0.449636068176264,2126.5,299.5,1749.5,77.5,23.3768095970154,7.45892896154632,25.4128832817078,22.4433110100882,0.4273357391357,5.1829242706298,132.91,73.4732082388499,198.457575757576,52.7962962962963,316.9,95.8,307.427700960378,83.2092887343785,1721.57335674269
2005,1978.464310631,0.414882458019471,2305,301.5,1906,97.5,24.1113437811534,6.60863836351679,25.8572256565094,23.3099925177438,0.922300338745199,4.8100490570069,128.068333333333,73.9231618588266,191.114705882353,45.6230769230769,301.1,98.2,290.790223889576,97.0492297812355,1895.84899151252
2006,1978.7303857477,0.380556266097818,2369.5,289.5,2013.5,66.5,24.0636749267578,9.36460154651346,26.8186595439911,22.7353828975133,1.4165477752685,5.4160499572754,130.710169491525,95.7128797461882,234.796296296296,42.8875,507.5,92,292.875846543126,63.7571957192458,2044.55823168936
2007,1978.32621053484,0.346825969195469,2272,310.5,1879,82.5,24.0342338085175,10.0051629098571,26.83354139328,22.7275442395891,1.2949390411377,6.8688240051269,116.89,76.1116308398177,181.084848484848,38.4296296296296,262.4,94.5,300.25369812984,105.536359291651,1930.29967960853
2008,1979.59228363593,0.313856905595594,2587.57496645265,0,0,0,23.4391403992971,7.82591279164034,25.6138803958893,22.3234536307199,1.2789096832275,4.3720989227295,136.708474576271,68.4648460521158,205.55625,55.1111111111111,228,96.6,232.719772156907,94.8162684307394,2275.87918614626
2009,1977.63667185509,0.281810468319621,2111.75723699036,0,0,0,23.9926173686981,7.88060100765889,25.6470882892609,22.8618615014212,1.719518661499,5.2067718505859,157.743333333333,67.3300274408778,222.377142857143,67.256,337.1,59.6,189.966860693786,63.8303612768094,1926.08260512257
2010,1975.81556645842,0.250843319543787,1719.38000791204,0,0,0,24.0315791765849,10.6653219202884,27.1422288417816,22.5841793332781,1.8527297973633,6.1425323486328,117.655,95.7157258637238,207.866666666667,43.8454545454545,375.7,93.5,154.98929232695,60.1225907639133,1601.42284666172
2011,1975.48479670948,0.221106629990628,1652.18320457252,0,0,0,23.4888333479563,9.98997923403526,26.3891334533692,22.255799974714,1.5036640167236,5.7356967926025,126.626666666667,97.9201304303853,219.97,33.2833333333333,390.4,88.8,121.414807613781,49.5395366768586,1593.6438064774
